nameWithOwner,createdAt,primaryLanguage,updatedAt,pullRequests
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,Python,2025-03-14T15:29:24Z,102
localsend/localsend,2022-12-16T00:46:07Z,Dart,2025-03-14T18:19:32Z,656
facebook/docusaurus,2017-06-20T16:13:53Z,TypeScript,2025-03-14T17:58:46Z,5360
OpenInterpreter/open-interpreter,2023-07-14T07:10:44Z,Python,2025-03-14T17:47:54Z,367
angular/angular.js,2010-01-06T00:34:37Z,JavaScript,2025-03-13T17:16:19Z,789
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,C#,2025-03-14T11:40:56Z,290
nektos/act,2019-01-02T19:53:43Z,Go,2025-03-14T18:42:23Z,1014
localstack/localstack,2016-10-25T23:48:03Z,Python,2025-03-14T18:26:55Z,5782
alacritty/alacritty,2016-02-18T05:02:30Z,Rust,2025-03-14T17:06:44Z,1860
meta-llama/llama,2023-02-14T09:29:12Z,Python,2025-03-14T18:21:24Z,54
FuelLabs/fuel-core,2020-08-27T21:12:14Z,Rust,2025-03-14T15:08:37Z,1437
prometheus/prometheus,2012-11-24T11:14:12Z,Go,2025-03-14T18:15:11Z,7213
lobehub/lobe-chat,2023-05-21T07:19:12Z,TypeScript,2025-03-14T17:13:07Z,1907
jesseduffield/lazygit,2018-05-19T00:53:06Z,Go,2025-03-14T18:21:24Z,1515
spring-projects/spring-framework,2010-12-08T04:04:45Z,Java,2025-03-14T17:06:42Z,852
rust-lang/rustlings,2015-09-15T02:25:18Z,Rust,2025-03-14T18:00:57Z,905
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,JavaScript,2025-03-14T18:18:38Z,774
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,CSS,2025-03-14T18:43:02Z,521
rails/rails,2008-04-11T02:19:47Z,Ruby,2025-03-14T16:02:36Z,24782
nuxt/nuxt,2016-10-26T11:18:47Z,TypeScript,2025-03-14T18:26:18Z,6272
gatsbyjs/gatsby,2015-05-21T22:43:05Z,JavaScript,2025-03-14T16:22:30Z,18147
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,JavaScript,2025-03-14T18:21:24Z,302
zed-industries/zed,2021-02-20T03:01:06Z,Rust,2025-03-14T18:42:06Z,11687
zylon-ai/private-gpt,2023-05-02T09:15:31Z,Python,2025-03-14T18:21:25Z,226
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,Java,2025-03-14T17:04:11Z,499
soimort/you-get,2012-08-20T15:53:36Z,Python,2025-03-14T16:53:56Z,582
azl397985856/leetcode,2018-03-30T09:13:51Z,JavaScript,2025-03-14T18:14:26Z,257
